player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Caleb Johnson,12488,LB,HOU BAPT,4,15,0,100.0,0,0,183,47.7,48.5,0.0,65.4,51.6,63.4,0,4,0,17,13.0,7,0,2,115.3,6,0,270,0,143,330,20,0,0,20,0,0,310,43,144,40,15,32,6,4,0,70,44,11.7
Greg Vincent,12880,DI,HOU BAPT,4,1,0,,0,0,183,60.0,60.1,77.2,58.1,64.3,56.6,0,1,0,,16.7,1,0,0,0.0,0,1,0,0,0,68,68,0,68,0,0,0,0,40,28,0,2,4,0,2,0,0,0,
Jaylan Foster,13095,S,S CAROLINA,7,10,0,78.9,0,0,289,52.0,55.2,83.1,68.1,58.3,79.6,0,1,0,91,8.5,4,0,1,157.1,15,0,128,19,152,345,12,0,0,12,0,82,333,3,190,102,12,33,19,1,4,232,120,15.5
Joshua McMillon,13920,LB,ALABAMA,6,2,0,33.3,0,0,103,79.5,81.8,77.3,54.4,76.4,65.1,0,0,0,4,10.0,1,1,0,42.4,1,0,54,1,26,57,2,0,0,2,0,0,55,4,27,0,4,7,3,0,0,4,5,4.0
Joshua Carter,19821,CB,SAMFORD,5,1,0,64.7,0,0,282,67.7,65.5,82.8,57.0,53.8,70.2,0,0,0,38,12.5,2,1,0,130.0,11,0,13,198,134,251,7,0,0,7,0,0,244,2,115,33,4,13,17,0,2,142,42,12.9
Armond Lloyd,19822,DI,SAMFORD,6,3,1,,0,0,282,57.3,75.8,82.8,69.8,75.9,60.5,1,4,0,,8.7,2,0,0,0.0,0,0,0,0,1,293,293,31,261,1,0,0,0,132,160,0,8,18,0,5,0,0,0,
Coutrell Plair,20191,CB,SAMFORD,6,2,0,68.0,1,0,282,68.4,67.1,29.5,65.3,61.5,60.4,0,1,1,47,13.0,3,1,4,79.9,17,0,14,412,196,436,7,0,0,7,0,0,429,4,236,3,8,18,25,1,0,227,65,13.4
Larry Wilhoite,20771,S,TENN STATE,1,0,1,100.0,0,0,308,61.4,53.2,0.0,60.0,51.3,21.8,0,0,0,6,100.0,1,0,1,91.7,1,0,5,0,4,19,2,0,0,2,0,0,17,1,14,12,0,0,1,0,0,6,-2,6.0
Rashun Freeman,21870,LB,CHATTNOOGA,4,3,0,62.5,0,1,137,61.7,68.2,83.7,91.3,67.8,44.3,1,1,0,18,22.7,5,0,0,84.9,5,1,68,4,77,192,24,0,0,24,0,3,168,5,110,93,7,14,8,3,0,59,29,11.8
Mark Williams,21922,CB,E ILLINOIS,6,3,0,51.4,0,0,158,79.7,81.2,82.0,,81.4,64.7,0,0,2,28,12.5,3,3,0,47.4,18,0,42,304,177,348,2,0,0,2,0,0,346,0,171,0,5,18,35,0,0,221,64,12.3
Dami Adekunjo,21989,CB,ALAB A&M,2,0,0,66.7,0,0,104,57.4,62.0,74.5,,72.9,80.8,0,0,0,21,0.0,0,0,0,103.5,2,0,2,30,15,33,0,0,0,0,0,1,33,0,18,0,2,5,3,0,0,33,20,16.5
Jerrell Lawson,22006,S,CHATTNOOGA,4,5,0,42.9,0,0,137,78.2,78.6,82.1,,75.7,67.7,0,0,1,16,15.4,4,1,0,11.9,3,0,112,1,87,230,0,0,0,0,0,98,230,0,143,19,7,17,7,0,0,23,7,7.7
Gunner Covey,22057,ED,CITADEL,4,2,0,,0,0,139,62.4,57.8,80.2,55.3,57.9,35.9,1,0,0,,27.3,3,0,0,0.0,0,0,1,0,4,121,120,0,12,48,60,0,1,42,75,0,4,6,0,1,0,0,0,
Oshea Trujillo,22177,LB,IDAHO ST,6,4,1,62.1,0,0,186,76.8,82.0,90.2,90.4,80.8,46.5,3,6,0,17,20.5,9,6,0,74.6,18,2,54,9,216,421,114,0,0,114,0,1,307,33,172,243,20,31,29,11,0,145,91,8.1
Jarrell Jackson,22290,CB,ILL STATE,4,3,0,52.2,0,0,188,72.9,73.1,81.7,,68.6,66.6,0,0,0,42,11.5,3,2,0,68.9,12,0,17,240,153,259,2,0,0,2,0,0,257,0,106,0,7,20,23,0,0,129,57,10.8
Stefan Williams,22300,ED,CHARLES SO,2,0,0,,0,0,135,72.0,62.4,78.0,67.5,48.6,45.9,1,0,0,,25.0,1,0,0,0.0,0,1,0,0,2,27,27,0,0,27,0,0,0,10,15,0,2,3,0,2,0,0,0,
Devin Taylor,22317,S,VA TECH,10,5,0,51.5,0,1,337,62.3,56.8,85.8,52.0,44.8,68.4,0,0,2,37,13.1,8,3,0,65.0,17,0,185,46,352,611,1,0,0,1,0,294,610,11,248,83,11,48,33,0,2,198,91,11.6
Jordan Jones,22379,CB,CHATTNOOGA,4,4,0,16.7,0,0,137,67.0,68.4,6.7,69.2,72.2,39.3,2,0,0,8,25.0,2,0,2,39.6,1,0,57,171,86,234,6,0,0,6,0,0,228,4,144,0,1,2,6,2,0,8,7,8.0
Jarrod Stanley,22430,CB,CHARLES SO,2,1,0,80.0,0,0,135,72.4,67.6,80.2,,55.3,28.7,0,0,0,26,40.0,4,0,0,108.3,4,0,12,127,40,147,5,0,0,5,0,0,142,0,107,3,2,5,5,0,0,50,22,12.5
Eli Shepherd,22469,DI,CHATTNOOGA,2,1,0,,0,0,137,,70.5,8.2,64.3,73.2,77.0,0,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,77,77,20,57,0,0,0,0,14,63,0,5,7,0,1,0,0,0,
Raymond Crittenden,22562,S,E ILLINOIS,6,5,0,73.3,0,0,158,67.7,69.3,14.8,55.6,76.9,68.8,1,1,1,38,15.2,5,0,1,106.9,11,0,99,1,170,356,11,0,0,11,0,34,345,6,180,211,12,23,15,2,2,115,46,10.5
Nick Salley,22617,ED,CHARLES SO,3,2,0,0.0,0,0,135,64.7,67.1,85.9,58.5,68.6,62.2,1,2,0,,12.5,3,0,0,39.6,0,1,4,0,4,180,176,0,0,175,1,0,4,64,112,0,13,19,1,4,0,0,0,
Treylan Dunn,22639,LB,GRAMBLING,3,4,0,50.0,0,0,177,51.9,74.5,81.0,54.5,90.7,75.5,1,3,0,23,5.6,1,0,0,79.2,2,0,152,0,62,156,3,1,0,2,0,0,153,15,79,1,11,13,4,4,0,34,21,17.0
Raemo Trevino,22649,DI,IDAHO ST,6,4,1,,0,0,186,62.2,72.6,82.8,75.1,64.8,63.8,0,9,0,,7.7,1,0,1,0.0,0,2,0,0,3,213,213,90,54,34,35,0,0,119,91,0,8,8,0,11,0,0,0,
Edward King,22770,LB,CHARLES SO,3,4,0,100.0,0,0,135,67.7,57.8,78.4,56.5,50.3,48.2,0,0,0,9,23.5,4,1,0,119.8,4,0,85,0,33,93,2,0,0,2,0,2,91,4,56,4,2,9,4,0,1,13,31,3.3
Kennon Smith,22828,LB,IDAHO ST,6,3,0,75.0,0,0,186,73.5,72.7,86.1,62.4,69.6,68.0,2,1,1,7,9.5,2,1,1,37.5,3,1,132,12,115,234,76,0,0,76,0,0,158,31,88,14,10,16,4,4,0,4,2,1.3
Cortez Davis,22974,CB,HAWAII,8,7,0,52.2,0,2,180,64.6,63.1,87.5,89.8,43.5,46.4,3,4,0,43,20.5,8,2,2,91.9,12,1,64,356,215,512,75,0,0,75,0,1,437,27,270,15,8,24,23,8,1,176,78,14.7
Dru Prox,23093,LB,KANSAS,3,7,0,75.0,0,0,198,52.9,60.0,78.8,79.6,56.5,60.2,3,3,0,9,14.8,4,0,0,116.7,6,1,146,2,55,157,1,0,0,1,0,0,156,24,78,8,8,16,8,7,1,17,7,2.8
Reggie Stubblefield,23441,CB,PRVIEW A&M,2,1,0,80.0,0,0,270,83.9,67.7,81.4,58.9,30.3,61.1,1,0,1,7,14.3,1,0,0,39.6,4,0,21,0,42,109,10,0,0,10,0,0,99,8,59,78,1,5,5,1,0,13,19,3.3
Augie Contressa,23485,S,STNY BROOK,4,3,0,75.0,0,0,303,50.6,58.7,81.4,76.7,64.9,52.4,1,3,0,20,20.8,5,0,0,113.8,15,0,140,1,129,269,28,0,0,28,0,8,241,16,124,92,6,16,20,4,1,156,73,10.4
Malachi Newell,23500,LB,YNGTOWN ST,2,1,0,,0,0,353,61.1,62.0,71.7,,61.1,77.4,0,0,0,,0.0,0,0,0,0.0,0,0,21,0,5,22,1,0,0,1,0,0,21,0,17,0,1,2,0,0,0,0,0,
Mikel Horton,23509,DI,CHARLOTTE,4,0,0,,0,0,136,60.0,61.6,0.0,67.7,62.0,59.0,0,4,0,,12.5,1,0,2,0.0,0,0,0,0,0,147,147,35,90,0,22,0,0,71,76,0,4,7,0,4,0,0,0,
Kingsley Onyirioha,23639,DI,TEXAS ST,5,1,0,,0,0,314,60.0,58.4,78.7,58.7,57.0,59.6,0,4,0,,14.3,1,0,0,0.0,0,0,0,0,0,142,142,0,34,6,102,0,0,75,67,0,3,5,0,4,0,0,0,
TJ Morrison,23647,S,STNY BROOK,4,5,0,57.1,0,0,303,64.6,67.9,84.5,,75.8,87.7,0,0,0,20,0.0,0,0,0,115.5,4,0,41,2,110,200,2,0,0,2,0,60,198,0,90,95,3,7,7,0,1,44,14,11.0
Gabe Foster,23762,CB,MCNEESE,3,2,0,100.0,0,0,217,69.2,71.6,76.6,,72.8,79.9,0,0,0,6,0.0,0,0,0,91.7,1,0,1,53,24,54,0,0,0,0,0,0,54,0,30,0,1,2,1,0,0,6,2,6.0
Quincy Jountti,23788,HB,USC,1,0,0,,0,0,326,60.0,55.6,60.0,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Jordan Canady,23841,S,N DAKOTA,5,4,0,54.5,0,0,249,77.2,72.3,82.8,65.9,54.2,59.0,1,0,2,22,18.5,5,0,0,38.3,6,0,80,2,149,256,2,0,0,2,0,112,254,6,101,60,4,18,11,1,0,80,42,13.3
Kevin Johnson,23904,CB,NICHOLLS,7,4,0,69.6,0,0,243,65.2,70.9,86.8,62.2,83.7,80.0,2,0,1,52,4.5,1,1,0,76.2,16,0,32,8,136,232,51,0,0,51,0,5,181,11,85,136,11,17,23,2,0,189,148,11.8
Peterson Octavien,23909,DI,STNY BROOK,4,0,0,,0,0,303,61.0,65.5,79.8,56.8,66.1,26.2,0,2,0,,33.3,1,0,0,0.0,0,0,0,0,0,83,83,28,54,0,1,0,0,46,37,0,2,2,0,2,0,0,0,
Anfernee Poindexter,23970,CB,NICHOLLS,4,0,0,,0,0,243,56.4,59.8,74.7,,66.0,75.1,0,0,0,,0.0,0,0,0,0.0,0,0,6,0,12,25,1,0,0,1,0,2,24,0,13,16,0,1,0,0,0,0,0,
Harrison Poole,24102,S,MERCER,8,7,0,70.0,0,0,219,62.9,69.1,81.9,65.8,78.2,75.7,0,1,0,34,11.1,3,1,0,91.7,7,2,74,29,117,254,10,0,0,10,0,2,244,9,128,139,9,17,10,3,0,75,39,10.7
Ray Haas,24109,LB,N DAKOTA,5,5,1,66.7,0,0,249,69.0,71.5,88.3,57.0,76.3,71.2,1,2,1,22,13.6,3,0,0,47.2,6,0,10,0,69,199,120,0,0,120,0,0,79,45,85,69,9,14,9,3,0,63,44,10.5
Darren Evans,24171,CB,LSU,5,1,0,69.2,0,0,211,35.8,36.7,77.5,60.0,53.6,61.6,0,0,0,40,14.3,1,0,0,137.5,9,0,3,62,46,74,0,0,0,0,0,0,74,1,27,8,0,5,13,0,1,194,65,21.6
Sam Kamara,24176,DI,STNY BROOK,3,0,0,,0,2,303,62.1,91.1,31.3,91.5,82.7,67.7,3,5,0,,10.0,1,0,1,0.0,0,2,0,0,1,148,148,1,70,34,43,0,0,77,70,0,9,9,0,10,0,0,0,
Donnell Adair,24336,CB,NICHOLLS,2,0,0,100.0,0,0,243,48.8,46.2,75.9,,45.3,28.1,0,0,0,55,50.0,1,0,0,158.3,2,0,0,42,21,43,0,0,0,0,0,0,43,0,22,1,0,1,2,0,1,61,27,30.5
Alvinoski LaFleur,24504,CB,E MICHIGAN,6,10,1,87.0,0,1,160,66.6,62.7,84.6,51.5,58.0,66.1,0,1,2,23,15.9,7,0,0,61.4,20,0,147,7,179,445,15,0,0,15,0,17,430,32,234,259,12,27,23,1,0,171,151,8.6
Jerome Brooks III,24531,S,LIUPOST,4,7,0,63.6,0,0,1298,73.3,76.9,11.6,70.5,83.4,90.4,0,0,0,26,3.1,1,1,1,77.8,7,1,98,0,161,294,2,0,0,2,0,148,292,1,132,46,8,24,11,1,0,60,24,8.6
Brandon Brown,24535,LB,WOFFORD,5,10,0,33.3,0,0,350,77.9,76.2,83.1,59.0,70.2,66.4,1,4,0,6,11.4,4,2,0,42.4,1,0,272,0,99,273,0,0,0,0,0,1,273,25,149,0,15,21,3,5,0,6,0,6.0
Darron Paschal,24536,CB,WOFFORD,5,2,0,80.0,1,0,350,53.4,56.6,0.0,,76.3,64.2,0,0,1,52,15.4,2,0,4,112.5,8,0,10,193,85,203,0,0,0,0,0,0,203,0,118,0,4,9,10,0,1,152,30,19.0
Jake Rastas,24608,LB,N DAKOTA,1,0,0,,0,0,249,65.2,64.2,69.6,56.3,62.2,74.3,1,0,0,,0.0,0,0,0,0.0,0,0,15,0,8,18,0,0,0,0,0,0,18,5,5,3,0,1,0,1,0,0,0,
Dareon Nash,24645,CB,IDAHO,3,2,0,100.0,0,0,185,52.1,56.8,78.4,,75.9,83.7,0,0,0,68,0.0,0,0,0,158.3,6,0,4,38,39,66,0,0,0,0,0,0,66,0,27,24,1,7,6,0,2,110,30,18.3
Evan Holm,24702,CB,N DAKOTA,5,2,0,50.0,0,0,249,64.3,67.4,81.1,59.6,80.0,79.6,0,1,1,49,4.5,1,7,0,59.2,15,0,25,166,118,200,7,0,0,7,0,1,193,10,72,1,6,19,30,1,0,211,74,14.1
Jaxson Turner,24955,ED,N DAKOTA,5,1,1,62.5,0,1,249,58.0,71.8,88.1,81.2,70.0,68.5,2,4,0,15,13.3,2,0,0,73.4,5,3,11,1,62,218,159,0,0,159,0,0,59,61,95,47,7,12,8,9,0,37,25,7.4
Jace Lewis,25213,LB,MONTANA,2,2,0,85.7,0,0,232,50.2,59.5,74.5,66.8,66.1,52.9,3,2,1,17,18.2,2,0,0,61.6,6,1,59,0,30,71,11,0,0,11,0,0,60,16,25,1,6,7,7,6,0,58,63,9.7
Troy Warner,25770,S,BYU,12,7,0,50.0,0,0,128,74.8,77.5,49.6,66.7,84.5,79.8,1,1,2,28,8.3,3,1,1,46.4,12,0,75,93,360,661,12,0,0,12,0,367,649,5,296,113,10,26,24,2,1,135,13,11.3
Luc Bequette,25776,DI,BOSTON COL,11,5,1,,0,2,121,60.9,58.2,63.0,56.9,58.8,64.2,0,1,0,,10.5,2,0,1,0.0,0,1,0,0,0,438,437,4,417,5,11,0,1,229,209,0,10,12,0,2,0,0,0,
Zeandae Johnson,25779,ED,CAL,4,3,0,,0,0,130,63.2,59.1,81.9,57.7,56.7,50.7,0,3,0,,22.2,2,0,0,0.0,0,1,0,0,1,230,230,0,76,76,78,0,0,116,113,0,4,4,0,4,0,0,0,
DeShawn Washington,26020,ED,MISS COL,1,0,0,,0,0,990,,58.8,74.6,57.8,59.5,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,24,24,0,0,10,14,0,0,11,13,0,0,0,0,0,0,0,0,
Mark Gilbert,26144,CB,DUKE,2,1,0,62.5,0,0,154,47.1,40.1,0.0,59.3,30.2,41.9,0,0,1,61,27.3,3,0,1,105.2,5,0,6,83,58,105,8,0,0,8,0,0,97,1,46,7,0,7,8,0,1,98,26,19.6
Clay Holford,26345,ED,E MICHIGAN,2,0,0,,0,0,160,51.9,41.1,78.3,54.2,46.7,74.8,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,2,40,39,1,4,32,2,0,1,16,22,0,1,2,0,0,0,0,0,
Jeremiah Moon,26453,ED,FLORIDA,4,4,0,100.0,0,0,163,71.4,63.5,86.6,67.3,50.7,75.6,1,6,0,1,13.3,2,0,0,79.2,1,1,18,0,37,196,171,0,0,171,0,0,25,75,84,7,7,9,1,8,0,1,5,1.0
Jared Folks,26468,LB,E TENN ST,6,8,0,100.0,0,0,157,73.5,78.4,35.2,65.2,77.8,71.9,3,15,0,11,15.6,7,0,1,81.5,9,2,354,1,141,380,15,0,0,15,0,3,365,66,173,7,21,30,9,20,0,32,42,3.6
David Curry,26573,LB,GA TECH,10,17,0,96.4,0,1,176,49.2,61.6,59.7,76.6,62.5,44.1,3,12,0,27,20.6,20,2,1,100.4,27,4,670,0,311,764,57,0,0,57,0,4,707,107,346,33,40,60,28,19,0,227,192,8.4
Josh Miller,26823,S,MISS COL,1,3,0,100.0,0,1,990,70.8,75.0,74.8,,76.5,72.6,0,0,0,4,8.3,1,0,0,83.3,1,0,20,0,26,47,0,0,0,0,0,25,47,0,21,2,4,8,1,0,0,4,1,4.0
Bracken El-Bakri,26924,DI,BYU,11,10,0,,0,0,128,60.0,63.5,83.9,55.6,66.9,61.9,3,6,0,,11.6,5,0,0,0.0,0,1,1,0,0,453,451,0,169,64,218,0,2,224,229,0,19,28,0,10,0,0,0,
Michael Dwumfour,27376,DI,RUTGERS,8,4,0,,2,0,278,61.0,61.0,0.0,71.8,61.2,36.9,7,14,0,,28.0,7,0,7,0.0,0,1,1,0,1,442,441,24,401,2,14,0,1,210,231,0,12,14,0,22,0,0,0,
Justus Reed,27708,ED,VA TECH,11,4,0,100.0,0,0,337,65.9,65.9,33.1,71.1,57.2,62.7,4,24,0,4,25.9,7,0,3,79.2,2,8,2,0,17,477,474,0,0,472,2,0,3,260,200,0,16,16,2,36,0,6,15,3.0
Rodjay Burns,28078,LB,LOUISVILLE,11,9,0,59.4,0,0,210,45.8,53.8,90.6,66.0,56.7,30.5,0,5,0,50,25.7,19,1,0,105.5,19,3,135,9,248,653,238,0,0,238,0,2,415,69,336,267,32,46,32,8,2,254,188,13.4
Justin Hilliard,28079,LB,OHIO STATE,6,4,1,88.2,0,1,260,81.0,82.4,76.7,72.6,82.2,65.9,0,2,1,22,12.8,5,0,1,72.5,15,0,159,6,120,231,17,0,0,17,0,0,214,10,101,49,18,30,17,2,0,124,90,8.3
DeValon Whitcomb,28665,DI,S DAKOTA,3,4,0,,0,1,291,,74.5,85.3,58.9,80.7,76.5,1,4,0,,0.0,0,0,0,0.0,0,1,0,0,0,203,203,159,43,0,1,0,0,106,97,0,6,9,0,6,0,0,0,
Richard Moore,28853,LB,SMU,1,0,0,100.0,0,0,287,29.9,29.8,66.8,58.5,58.2,26.6,0,0,0,16,50.0,1,0,0,158.3,1,0,10,0,5,10,0,0,0,0,0,0,10,2,3,0,1,1,1,0,1,16,0,16.0
Jack Jones,29050,CB,ARIZONA ST,1,0,0,57.1,0,0,110,58.7,61.0,77.4,,71.0,34.4,0,0,0,27,37.5,3,0,0,75.3,4,0,1,59,40,64,1,0,0,1,0,0,63,0,24,3,2,5,7,0,0,43,16,10.8
Richard Burney,29120,DI,VIRGINIA,5,5,1,,0,0,335,60.0,66.7,82.3,60.5,67.9,64.9,0,7,0,,12.5,2,0,0,0.0,0,3,2,0,0,245,243,2,115,28,98,0,2,122,123,0,9,9,0,10,0,0,0,
Garrett Rand,29616,DI,WISCONSIN,6,4,0,,1,1,349,60.0,62.3,29.8,54.0,71.1,54.0,0,2,0,,12.5,2,0,2,0.0,0,0,0,0,0,309,309,6,247,17,39,0,0,173,136,0,7,10,0,2,0,0,0,
Tim Poindexter,29660,CB,DELAWARE,2,0,0,,0,0,151,65.1,59.8,74.5,,50.2,22.1,0,0,0,,100.0,1,0,0,0.0,0,0,3,0,9,23,0,0,0,0,0,7,23,0,14,13,0,0,0,0,0,0,0,
Da'Quan Grimes,29665,LB,MONMOUTH,3,4,2,85.7,0,0,231,64.8,72.1,83.7,76.0,70.7,65.0,2,4,0,27,13.3,4,0,0,104.8,6,1,129,0,95,201,66,0,0,66,0,0,135,25,81,6,13,22,7,7,0,64,64,10.7
Matt Biegler,29672,DI,N DAK ST,1,0,0,,0,0,250,61.7,67.7,75.6,63.9,61.9,71.9,1,1,0,,0.0,0,0,0,0.0,0,1,0,0,0,45,45,2,42,0,1,0,0,33,12,0,2,1,0,3,0,0,0,
Colby Reeder,30285,LB,DELAWARE,2,0,0,50.0,0,0,151,70.7,81.1,0.0,66.8,87.9,81.4,1,2,0,5,0.0,0,0,1,56.3,1,1,52,0,30,81,26,0,0,25,1,2,55,13,38,1,6,6,2,4,0,5,8,5.0
D'Angelo Amos,30344,S,VIRGINIA,10,4,0,51.5,0,0,335,46.7,49.2,86.6,56.9,54.6,45.7,0,0,2,55,24.0,12,3,1,73.0,17,0,207,6,317,533,1,0,0,1,0,198,532,4,212,121,8,34,33,0,2,262,97,15.4
Nijuel Hill,30346,CB,DELAWARE,5,3,0,35.0,0,0,151,74.5,73.8,80.8,,67.6,67.6,0,0,2,13,13.3,2,2,0,4.2,7,0,42,163,108,209,1,0,0,1,0,0,208,0,101,3,2,10,20,0,0,57,23,8.1
Kahari Scarlett,30347,ED,MONMOUTH,3,1,0,,0,0,231,,80.0,80.9,81.0,69.4,78.7,2,11,0,,0.0,0,0,0,0.0,0,4,0,0,0,146,146,12,26,57,51,0,0,87,59,0,7,3,0,17,0,0,0,
Kelvin Azanama,30425,LB,JAMES MAD,4,2,0,78.6,0,0,197,49.7,64.8,3.3,69.0,81.3,73.2,1,1,0,20,7.7,2,0,1,97.3,11,1,160,0,86,177,8,0,0,8,0,0,169,13,78,9,15,22,14,3,0,103,62,9.4
Adeeb Atariwa,30482,DI,VIRGINIA,10,2,0,,0,0,335,61.0,70.4,54.1,57.1,77.6,36.2,1,6,0,,23.8,5,0,1,0.0,0,1,0,0,0,317,317,1,120,27,169,0,0,170,147,0,14,14,0,8,0,0,0,
Beau Pauly,30609,LB,N DAK ST,1,0,0,,0,0,250,60.0,58.5,67.5,58.2,,,0,0,0,,,0,0,0,0.0,0,0,3,0,1,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,
Marshaun Cameron,30624,CB,COLO STATE,4,3,0,61.9,0,1,144,76.9,78.6,82.4,91.2,67.1,80.8,0,0,1,38,6.7,2,1,1,61.6,13,1,15,243,133,269,2,0,0,2,0,0,267,3,133,8,13,25,21,1,0,140,36,10.8
Jabril Cox,30669,LB,LSU,10,5,0,63.4,0,0,211,83.5,72.8,86.9,76.7,55.0,64.0,5,5,3,69,13.3,8,4,0,57.0,26,0,389,31,352,681,73,0,0,73,0,1,608,36,293,186,24,47,41,10,0,320,251,12.3
ShawnTrez Spates,33073,CB,W ILLINOIS,2,3,0,83.3,0,0,345,61.2,62.5,0.0,59.2,71.9,64.0,0,0,0,14,12.5,2,0,3,94.4,10,0,9,92,58,124,21,0,0,21,0,1,103,3,63,1,3,11,12,0,0,80,30,8.0
Jovane Parkinson,33078,CB,MWSTATE,1,2,0,42.9,0,0,983,61.6,63.5,77.4,,68.0,81.1,0,0,0,11,0.0,0,1,0,52.7,3,0,1,67,34,75,0,0,0,0,0,7,75,0,41,0,0,2,7,0,0,25,9,8.3
Nathan Grant,33166,ED,CENT ARK,4,3,0,,0,0,132,65.1,72.5,43.3,72.9,69.7,82.3,0,7,0,,0.0,0,0,1,0.0,0,0,10,0,16,187,176,0,7,166,3,0,11,85,86,1,5,8,0,7,0,0,0,
Austin Norris,33232,DI,CENT ARK,8,4,0,,0,0,132,64.0,65.7,81.8,65.8,60.0,38.7,0,8,0,,18.8,3,0,0,0.0,0,1,1,0,0,266,265,2,192,7,64,0,1,140,126,0,9,9,0,9,0,0,0,
J.W. Jones,33251,ED,CENT ARK,9,4,1,50.0,1,1,132,63.7,63.9,22.9,69.6,59.0,53.7,1,21,0,1,18.8,6,0,4,56.3,1,5,1,0,5,507,506,0,24,394,88,0,1,278,224,0,20,22,2,27,0,1,7,1.0
Victor Hill,33378,ED,CENT ARK,1,1,0,,0,0,132,60.0,68.2,70.6,60.0,63.7,71.1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,6,6,0,0,5,1,0,0,1,5,0,0,0,0,0,0,0,0,
Brian Cavicante,33444,LB,MARSHALL,5,1,0,100.0,0,0,214,60.2,65.4,71.3,,73.9,63.7,0,0,0,31,11.1,1,0,0,118.8,4,0,50,0,38,50,0,0,0,0,0,0,50,0,12,0,5,7,4,0,0,53,39,13.3
Robert Rochell,33693,CB,CENT ARK,7,4,0,70.0,0,1,132,77.5,74.3,0.0,55.6,67.6,75.5,0,0,0,28,7.1,2,3,3,97.9,14,0,38,415,246,459,5,0,0,5,0,0,454,3,210,1,9,22,20,0,0,180,51,12.9
Eric Johnson,33698,DI,MO STATE,9,4,0,,0,0,230,73.6,74.2,84.4,59.1,78.2,57.7,0,12,0,,13.8,4,0,0,0.0,0,2,0,0,0,458,458,43,400,0,15,0,0,257,201,0,20,21,0,14,0,0,0,
Eric Wilson,33735,CB,S DIEGO ST,2,0,0,100.0,0,0,284,47.0,45.1,68.8,,,,0,0,0,8,,0,0,0,100.0,1,0,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,8,13,8.0
Brock Nichols,33753,S,USF,8,1,0,37.5,0,0,327,64.0,57.6,78.7,56.7,50.3,70.1,0,1,1,17,5.6,1,0,0,10.9,3,0,95,1,61,169,8,0,0,8,0,34,161,4,104,31,6,16,8,1,0,33,10,11.0
Leandre Rucks,33761,CB,CENT ARK,2,0,0,40.0,0,0,132,29.5,31.4,72.8,,62.9,74.3,0,0,0,56,0.0,0,1,0,127.1,2,0,4,9,11,15,0,0,0,0,0,1,15,0,4,0,1,1,5,0,1,69,21,34.5
Nick Harper Jr.,33892,CB,TENN STATE,7,5,0,46.3,0,0,308,69.0,74.6,84.3,,90.2,87.4,0,0,0,48,2.8,1,7,3,73.5,19,0,27,426,240,463,2,0,0,2,0,0,461,0,223,8,11,30,41,0,0,323,125,17.0
Meiko Dotson,33902,CB,FLORIDA ST,3,1,0,50.0,0,0,167,53.1,53.4,79.3,59.8,56.1,56.5,0,0,0,32,25.0,3,0,1,90.6,2,0,9,84,58,110,2,0,0,2,0,0,108,1,51,15,1,8,4,0,0,45,8,22.5
Eryk Preston,33903,ED,W ILLINOIS,6,3,1,,0,1,345,63.4,69.1,87.9,64.4,68.3,85.1,1,4,0,,0.0,0,0,0,0.0,0,3,1,0,1,274,273,0,0,273,0,0,1,129,144,0,10,11,0,8,0,0,0,
Justin Meadows,33961,S,CENT ARK,1,0,0,,0,0,132,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Omar Hicks-Onu,33988,CB,MONTANA,2,1,0,50.0,0,0,232,58.0,57.4,76.9,57.2,57.7,53.2,0,0,0,12,20.0,1,0,0,66.0,3,0,4,60,41,64,0,0,0,0,0,0,64,1,22,0,0,3,6,0,0,32,0,10.7
Darail McCormick,34021,DI,ALBANY,1,0,0,,0,0,106,,61.8,72.2,59.7,61.2,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,5,5,4,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,
