player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Hudson Clark,98871,CB,ARKANSAS,8,5,0,62.5,0,0,111,56.8,57.9,85.6,53.3,62.5,56.1,0,0,3,43,17.6,9,2,3,80.6,30,0,24,539,310,592,7,0,0,7,0,1,585,3,279,21,11,37,48,0,2,445,82,14.8
Zion Puckett,98874,CB,AUBURN,9,3,0,81.8,0,0,115,54.8,56.5,80.8,53.1,64.3,83.8,0,0,0,33,0.0,0,1,0,132.2,9,0,33,2,71,118,10,0,0,10,0,4,108,7,40,68,2,8,11,0,1,93,42,10.3
Nehemiah Pritchett,98875,CB,AUBURN,11,1,0,36.8,0,0,115,77.3,78.9,85.5,57.1,80.2,78.4,0,0,1,28,6.7,2,7,2,48.6,14,0,39,531,329,616,3,0,0,3,0,3,613,3,284,38,10,27,38,0,1,164,68,11.7
Jaylin Simpson,98876,CB,AUBURN,8,1,0,28.6,0,0,115,63.3,61.1,81.1,47.7,52.0,37.8,0,1,0,43,25.0,4,2,0,73.2,4,0,14,187,133,208,1,0,0,1,0,0,207,1,74,5,6,11,14,1,1,75,27,18.8
DJ Daniel,98878,CB,GEORGIA,6,2,0,45.5,0,0,173,65.1,66.1,80.0,51.7,73.3,84.7,0,0,0,36,0.0,0,0,0,97.2,5,0,4,130,93,140,0,0,0,0,0,0,140,4,43,6,1,9,11,0,1,71,34,14.2
Lewis Cine,98879,S,GEORGIA,10,9,0,65.4,0,0,173,70.2,72.0,0.0,57.4,81.0,90.7,0,0,0,40,3.8,2,2,3,106.7,17,0,114,13,354,551,2,0,0,2,0,372,549,2,195,50,14,42,26,0,1,233,78,13.7
Jon Haynes,98884,S,OLE MISS,8,6,0,64.3,0,0,226,51.8,50.8,21.2,62.3,51.3,53.2,1,0,1,45,19.4,7,2,1,98.5,9,0,129,8,224,418,4,0,0,4,0,244,414,5,189,32,2,23,14,1,1,164,74,18.2
Jalen Jordan,98885,S,OLE MISS,9,14,0,75.7,0,0,226,62.5,64.3,87.8,59.5,67.9,57.3,0,2,0,20,19.7,13,1,0,91.7,28,0,72,13,304,504,26,0,0,26,0,118,478,16,184,275,11,39,37,2,0,236,138,8.4
Jamar Richardson,98886,CB,OLE MISS,9,1,0,61.5,0,0,226,58.9,56.0,81.8,76.7,37.8,41.5,0,0,0,38,35.7,5,1,0,87.3,8,1,14,178,101,210,2,0,0,2,0,3,208,1,108,11,3,8,13,1,0,106,42,13.3
A.J. Finley,98887,S,OLE MISS,10,11,0,73.9,0,0,226,70.3,66.3,88.2,62.3,53.7,77.3,1,0,3,45,10.3,7,7,0,103.2,34,0,131,20,399,689,3,0,0,3,0,342,686,5,285,192,10,50,46,1,4,416,181,12.2
